,proposalID.id,voters.id,support,single_vote
2040,100,0x8f9e251b6ec993c9a9ea4712c40d19f1052e7873,1,30000000000000000
302,100,0x15d789d4dd128cea5d8e6b6f0adabe910e5fd100,1,25900000000000000
149,100,0x0a030ed2b5b7bc9fe8676e1be40cc228e66b3b55,1,30000000000000000
536,100,0x29f387ade2a5ae3c93defd52f2a5fa535cab666e,1,50000000000000000000000
1110,100,0x535b3ddd9939056cb6d74d1253ae1a4adf5d723a,0,50000000000000000000000
1179,100,0x55155065f66c978ac724f2973739a9495374155c,1,16600000000000000
2246,100,0x9b68c14e936104e9a7a24c712beecdc220002984,1,10000000000000000000000
1439,100,0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,1,500000000000000000
332,100,0x18c8f1222083997405f2e482338a4650ac02e1d6,0,33013750000000000000000
2318,100,0xa1cad48e9844d850f066376e1f1e04147b16619e,1,0
1728,100,0x8169522c2c57883e8ef80c498aab7820da539806,0,101000024654469732833014
2210,100,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,256007950497286486395475
115,100,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,50000000000000000000000
1167,100,0x54a37d93e57c5da659f508069cf65a381b61e189,0,87597598231759879091047
693,100,0x3617f9e9d601483cba5239aaf5a3912edf752d0b,1,10000000000000000
2253,100,0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e,1,0
1998,100,0x8d07d225a769b7af3a923481e1fdf49180e6a265,0,70014383254833468741034
663,100,0x335d2d954cec61cb4673780300d890340a29dd99,1,0
652,100,0x3290603e448a2ce1831a4c4e68385d5e1531aced,1,0
1398,100,0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,0,23126000000000000000
639,100,0x30c80c56f439760d4d0fa33ed19822a27e7461bb,1,399182439509669529
376,100,0x1b88bdd5954b221fac94619d28ab3b0b8c9d35a7,1,10000000000000000
1806,100,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,11500471444371433923
2307,100,0xa0dc2f2f6fd98d9c7254f929db233f149741c432,0,4882130000000000000000
1685,100,0x7ec062d194f87022a908f943c86b7b9cafa23662,1,10000000000000000
133,100,0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb,1,0
772,100,0x3eaf7bd84eeff7445e9499956950d5cba285c973,0,0
485,100,0x25a0b77124496014890a1c5c8cac433f3fe73df9,1,7450330020000000000
1616,100,0x7a67928bb379974768668d50ab991eefb5f08c0e,1,45897360000000000
1260,100,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,0,48306399462058402606729
1633,100,0x7ae109a63ff4dc852e063a673b40bed85d22e585,0,50006977000000000000000
2149,100,0x97d5bd51a9ac3c42782dc0eee9edf2e4aecf0815,1,10000000000000000
1499,100,0x70ddc90b218bb7a6d710d9e2d498bb38ff499aed,1,10000000000000000
2095,100,0x91f7c7dc5a44276482c102178fe1d620b397c276,1,0
270,100,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,0,50000000000000000000000
1342,100,0x64b5f9dd6f23269b966a4c3717e150a6dd264851,1,500000000000000000
1939,100,0x8ac5c1cbafc564fbd01ee4b116dea85e6a593ab4,0,5557175247476697198
1999,101,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,70014383254833468741034
570,101,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,20085713611359932665640
1261,101,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,48306399462058402606729
1014,101,0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,1,174539910726058188
1399,101,0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,1,23126000000000000000
271,101,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50000000000000000000000
1634,101,0x7ae109a63ff4dc852e063a673b40bed85d22e585,1,50006977000000000000000
