,voters.id,proposalID.id,support,single_vote
0,0x008c84421da5527f462886cec43d2717b686a7e4,16,1,1
1,0x008c84421da5527f462886cec43d2717b686a7e4,1,1,0
2,0x008c84421da5527f462886cec43d2717b686a7e4,17,1,1
3,0x008c84421da5527f462886cec43d2717b686a7e4,18,2,1
4,0x008c84421da5527f462886cec43d2717b686a7e4,19,1,1
5,0x008c84421da5527f462886cec43d2717b686a7e4,20,1,1
6,0x008c84421da5527f462886cec43d2717b686a7e4,21,1,1
7,0x008c84421da5527f462886cec43d2717b686a7e4,22,0,1
8,0x008c84421da5527f462886cec43d2717b686a7e4,23,1,1
9,0x008c84421da5527f462886cec43d2717b686a7e4,25,1,1
10,0x008c84421da5527f462886cec43d2717b686a7e4,26,1,1
11,0x008c84421da5527f462886cec43d2717b686a7e4,27,1,1
12,0x008c84421da5527f462886cec43d2717b686a7e4,28,1,1
13,0x008c84421da5527f462886cec43d2717b686a7e4,29,1,1
14,0x008c84421da5527f462886cec43d2717b686a7e4,30,0,1
15,0x008c84421da5527f462886cec43d2717b686a7e4,2,1,1
16,0x008c84421da5527f462886cec43d2717b686a7e4,33,1,3
17,0x008c84421da5527f462886cec43d2717b686a7e4,34,1,3
18,0x008c84421da5527f462886cec43d2717b686a7e4,35,1,3
19,0x008c84421da5527f462886cec43d2717b686a7e4,38,1,3
20,0x008c84421da5527f462886cec43d2717b686a7e4,40,1,4
21,0x008c84421da5527f462886cec43d2717b686a7e4,41,1,5
22,0x008c84421da5527f462886cec43d2717b686a7e4,43,1,5
23,0x008c84421da5527f462886cec43d2717b686a7e4,44,1,5
24,0x008c84421da5527f462886cec43d2717b686a7e4,47,1,5
25,0x008c84421da5527f462886cec43d2717b686a7e4,48,1,5
26,0x008c84421da5527f462886cec43d2717b686a7e4,49,1,5
27,0x008c84421da5527f462886cec43d2717b686a7e4,50,0,5
28,0x008c84421da5527f462886cec43d2717b686a7e4,51,1,5
29,0x008c84421da5527f462886cec43d2717b686a7e4,52,1,5
30,0x008c84421da5527f462886cec43d2717b686a7e4,54,1,5
31,0x008c84421da5527f462886cec43d2717b686a7e4,55,0,5
32,0x008c84421da5527f462886cec43d2717b686a7e4,56,1,5
33,0x008c84421da5527f462886cec43d2717b686a7e4,57,2,5
34,0x008c84421da5527f462886cec43d2717b686a7e4,58,1,5
35,0x008c84421da5527f462886cec43d2717b686a7e4,59,0,5
36,0x008c84421da5527f462886cec43d2717b686a7e4,60,1,5
37,0x008c84421da5527f462886cec43d2717b686a7e4,61,1,5
38,0x008c84421da5527f462886cec43d2717b686a7e4,62,1,5
39,0x008c84421da5527f462886cec43d2717b686a7e4,63,1,5
40,0x008c84421da5527f462886cec43d2717b686a7e4,64,1,5
41,0x008c84421da5527f462886cec43d2717b686a7e4,4,1,1
42,0x008c84421da5527f462886cec43d2717b686a7e4,65,1,5
43,0x008c84421da5527f462886cec43d2717b686a7e4,67,1,5
44,0x008c84421da5527f462886cec43d2717b686a7e4,68,1,5
45,0x008c84421da5527f462886cec43d2717b686a7e4,69,1,5
46,0x008c84421da5527f462886cec43d2717b686a7e4,70,1,5
47,0x008c84421da5527f462886cec43d2717b686a7e4,71,1,5
48,0x008c84421da5527f462886cec43d2717b686a7e4,72,1,5
49,0x008c84421da5527f462886cec43d2717b686a7e4,73,1,5
50,0x008c84421da5527f462886cec43d2717b686a7e4,74,0,5
51,0x008c84421da5527f462886cec43d2717b686a7e4,5,1,1
52,0x008c84421da5527f462886cec43d2717b686a7e4,83,1,5
53,0x008c84421da5527f462886cec43d2717b686a7e4,84,1,5
54,0x008c84421da5527f462886cec43d2717b686a7e4,85,1,5
55,0x008c84421da5527f462886cec43d2717b686a7e4,95,1,5
56,0x008c84421da5527f462886cec43d2717b686a7e4,6,1,1
57,0x008c84421da5527f462886cec43d2717b686a7e4,99,1,5
58,0x008c84421da5527f462886cec43d2717b686a7e4,100,1,5
59,0x008c84421da5527f462886cec43d2717b686a7e4,101,1,5
60,0x008c84421da5527f462886cec43d2717b686a7e4,8,1,1
61,0x008c84421da5527f462886cec43d2717b686a7e4,9,1,1
62,0x008c84421da5527f462886cec43d2717b686a7e4,10,1,1
63,0x008c84421da5527f462886cec43d2717b686a7e4,11,1,1
64,0x008c84421da5527f462886cec43d2717b686a7e4,13,1,1
65,0x008c84421da5527f462886cec43d2717b686a7e4,14,1,1
66,0x008c84421da5527f462886cec43d2717b686a7e4,15,1,1
67,0x01db485f57dc000e761b85641f78c9d212a2eeab,16,1,1
68,0x01db485f57dc000e761b85641f78c9d212a2eeab,21,1,1
69,0x01db485f57dc000e761b85641f78c9d212a2eeab,23,1,1
70,0x01db485f57dc000e761b85641f78c9d212a2eeab,26,1,1
71,0x01db485f57dc000e761b85641f78c9d212a2eeab,27,1,1
72,0x01db485f57dc000e761b85641f78c9d212a2eeab,28,1,1
73,0x01db485f57dc000e761b85641f78c9d212a2eeab,51,1,1
74,0x01db485f57dc000e761b85641f78c9d212a2eeab,53,1,1
75,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,82,0,6
76,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,22,0,1
77,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,29,1,5
78,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,90,2,1
79,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,91,1,1
80,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,92,1,1
81,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,93,1,1
82,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,94,1,1
83,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,95,1,1
