,id,blocktime,vote_rate
0,1,2021-08-19 10:25:04,7
24,2,2021-08-25 07:09:25,12
35,3,2021-09-01 13:43:29,14
46,4,2021-09-03 09:09:54,14
57,5,2021-09-14 08:58:49,17
68,6,2021-09-19 07:42:39,16
79,7,2021-09-21 06:16:18,9
90,8,2021-09-24 12:40:11,20
101,9,2021-09-29 11:00:54,23
1,10,2021-10-07 11:21:20,21
12,11,2021-10-08 13:55:01,20
16,12,2021-10-19 02:13:19,20
17,13,2021-10-19 13:37:54,20
18,14,2021-10-27 06:27:37,25
19,15,2021-11-04 12:50:21,29
20,16,2021-11-04 22:55:54,35
21,17,2021-11-15 13:46:50,46
22,18,2021-11-15 19:21:01,40
23,19,2021-11-21 11:42:52,24
25,20,2021-11-22 10:10:28,47
26,21,2021-11-23 14:08:29,40
27,22,2021-11-24 18:10:32,44
28,23,2021-11-29 19:15:16,39
29,24,2021-12-01 07:00:43,36
30,25,2021-12-01 18:39:07,28
31,26,2021-12-02 23:18:15,32
32,27,2021-12-05 18:26:01,34
33,28,2021-12-13 06:53:18,37
34,29,2021-12-25 07:41:54,56
36,30,2021-12-27 13:31:36,34
37,31,2022-01-05 07:20:20,33
38,32,2022-01-05 12:50:37,36
39,33,2022-01-11 09:18:50,76
40,34,2022-01-11 13:42:49,51
41,35,2022-01-19 11:50:46,47
42,36,2022-01-24 07:04:47,46
43,37,2022-02-02 19:27:40,64
44,38,2022-02-11 08:47:37,72
45,39,2022-02-15 10:44:34,56
47,40,2022-02-24 21:22:23,70
48,41,2022-03-01 13:09:08,42
49,42,2022-03-03 11:05:55,61
50,43,2022-03-09 12:05:02,67
51,44,2022-03-16 21:55:37,79
52,45,2022-03-22 16:28:36,61
53,46,2022-03-24 12:37:36,65
54,47,2022-03-30 17:09:00,41
55,48,2022-03-31 11:10:21,71
56,49,2022-04-02 07:05:43,42
58,50,2022-04-04 12:44:50,12
59,51,2022-04-08 00:09:28,63
60,52,2022-04-08 11:09:19,51
61,53,2022-04-08 23:05:03,75
62,54,2022-04-11 11:12:34,41
63,55,2022-04-11 13:17:07,42
64,56,2022-04-12 15:29:00,40
65,57,2022-04-13 17:25:33,56
66,58,2022-04-14 09:18:25,71
67,59,2022-04-14 14:23:03,65
69,60,2022-04-18 06:33:14,51
70,61,2022-04-18 09:43:41,92
71,62,2022-04-18 12:38:31,71
72,63,2022-04-21 19:03:48,69
73,64,2022-04-22 10:20:09,74
74,65,2022-04-22 13:42:04,75
75,66,2022-04-22 16:33:08,0
76,67,2022-04-23 09:41:24,86
77,68,2022-04-24 14:38:21,67
78,69,2022-04-24 14:48:03,59
80,70,2022-04-24 21:09:52,42
81,71,2022-05-03 15:18:57,54
82,72,2022-05-05 06:22:50,41
83,73,2022-05-09 11:51:54,114
84,74,2022-05-10 09:27:38,61
85,75,2022-05-11 20:12:02,121
86,76,2022-05-16 09:55:33,0
87,77,2022-05-16 17:35:24,91
88,78,2022-05-17 12:49:38,50
89,79,2022-05-18 10:32:38,0
91,80,2022-05-18 11:09:17,0
92,81,2022-05-18 13:48:48,137
93,82,2022-05-19 04:10:11,137
94,83,2022-05-20 10:25:52,127
95,84,2022-05-26 08:48:41,93
96,85,2022-05-26 10:11:40,130
97,86,2022-05-27 09:51:39,20
98,87,2022-05-29 16:11:36,134
99,88,2022-06-02 16:49:41,0
100,89,2022-06-04 07:33:56,128
102,90,2022-06-06 16:23:34,133
103,91,2022-06-07 10:36:42,123
104,92,2022-06-07 10:41:57,127
105,93,2022-06-08 14:22:16,115
106,94,2022-06-08 18:22:29,85
107,95,2022-06-10 17:52:08,139
108,96,2022-06-12 19:24:35,0
109,97,2022-06-16 20:29:30,84
110,98,2022-06-20 06:55:26,42
111,99,2022-06-22 07:57:56,79
2,100,2022-06-26 09:07:18,44
3,101,2022-06-26 15:03:41,69
4,102,2022-06-30 13:02:18,69
5,103,2022-07-01 14:03:06,115
6,104,2022-07-01 22:58:06,97
7,105,2022-07-04 21:28:51,104
8,106,2022-07-06 11:25:53,103
9,107,2022-07-08 07:24:32,83
10,108,2022-07-10 09:59:15,100
11,109,2022-07-11 14:27:13,33
13,110,2022-07-11 15:30:08,77
14,111,2022-07-12 07:07:58,72
15,112,2022-07-13 17:36:00,0
