,id_proposal,support_votes
2040,"('0x8f9e251b6ec993c9a9ea4712c40d19f1052e7873', '100')","(1, '30000000000000000')"
302,"('0x15d789d4dd128cea5d8e6b6f0adabe910e5fd100', '100')","(1, '25900000000000000')"
149,"('0x0a030ed2b5b7bc9fe8676e1be40cc228e66b3b55', '100')","(1, '30000000000000000')"
536,"('0x29f387ade2a5ae3c93defd52f2a5fa535cab666e', '100')","(1, '50000000000000000000000')"
1110,"('0x535b3ddd9939056cb6d74d1253ae1a4adf5d723a', '100')","(0, '50000000000000000000000')"
1179,"('0x55155065f66c978ac724f2973739a9495374155c', '100')","(1, '16600000000000000')"
2246,"('0x9b68c14e936104e9a7a24c712beecdc220002984', '100')","(1, '10000000000000000000000')"
1439,"('0x696d181a7961ee66c42f1ebeddc0b48b106c45ad', '100')","(1, '500000000000000000')"
332,"('0x18c8f1222083997405f2e482338a4650ac02e1d6', '100')","(0, '33013750000000000000000')"
2318,"('0xa1cad48e9844d850f066376e1f1e04147b16619e', '100')","(1, '0')"
1728,"('0x8169522c2c57883e8ef80c498aab7820da539806', '100')","(0, '101000024654469732833014')"
2210,"('0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1', '100')","(1, '256007950497286486395475')"
115,"('0x070341aa5ed571f0fb2c4a5641409b1a46b4961b', '100')","(1, '50000000000000000000000')"
1167,"('0x54a37d93e57c5da659f508069cf65a381b61e189', '100')","(0, '87597598231759879091047')"
693,"('0x3617f9e9d601483cba5239aaf5a3912edf752d0b', '100')","(1, '10000000000000000')"
2253,"('0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e', '100')","(1, '0')"
1998,"('0x8d07d225a769b7af3a923481e1fdf49180e6a265', '100')","(0, '70014383254833468741034')"
663,"('0x335d2d954cec61cb4673780300d890340a29dd99', '100')","(1, '0')"
652,"('0x3290603e448a2ce1831a4c4e68385d5e1531aced', '100')","(1, '0')"
