,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
0,0,0x0000000c50489ced5f512c74fb11ba9af3a03e13,87,1,9804783437880000000000,clairvoyantlabs.eth
1,1,0x0000000c50489ced5f512c74fb11ba9af3a03e13,89,1,9804783437880000000000,clairvoyantlabs.eth
2,2,0x0000000c50489ced5f512c74fb11ba9af3a03e13,90,1,9804783437880000000000,clairvoyantlabs.eth
3,3,0x0000000c50489ced5f512c74fb11ba9af3a03e13,92,1,9804783437880000000000,clairvoyantlabs.eth
4,4,0x0000000c50489ced5f512c74fb11ba9af3a03e13,93,0,9804783437880000000000,clairvoyantlabs.eth
5,5,0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130,111,1,4000000000000000,
6,6,0x0006e4548aed4502ec8c844567840ce6ef1013f5,43,1,38110144938082669,
7,7,0x002479a9350070cd97261bccf03156a21f0c471f,43,1,25000000000000000,
8,8,0x00432772ed25d4eb3c6eb26dc461239b35cf8760,93,1,0,slmplex.eth
9,9,0x00432772ed25d4eb3c6eb26dc461239b35cf8760,111,1,0,slmplex.eth
10,10,0x005a61772557bef9a3e65a7b87eaccce34f2700e,108,1,60000000000000000,
11,11,0x00ee80c322d6e956d2629a73223605bbda946f2d,93,1,29531940000000000,bigplayer.eth
12,12,0x00ee80c322d6e956d2629a73223605bbda946f2d,105,1,29531940000000000,bigplayer.eth
13,13,0x00ee80c322d6e956d2629a73223605bbda946f2d,111,1,29531940000000000,bigplayer.eth
14,14,0x0124fd98566fb966d118bfb70650cac960dd6c2c,108,1,60000000000000000,
15,15,0x0133b67aec5d8a3959840385ff6f5aba4f85f894,108,1,60000000000000000,
16,16,0x014607f2d6477badd9d74bf2c5d6356e29a9b957,109,0,0,btc520.eth
17,17,0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,108,1,500000000000000000,
18,18,0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,109,0,500000000000000000,
19,19,0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,110,1,500000000000000000,
20,20,0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,111,1,500000000000000000,
21,21,0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,112,0,500000000000000000,
22,22,0x01ac3ff155739d34948f1af53f24524149c9d928,111,1,0,hackbot.eth
23,23,0x01e9c4f4d8318e2a0a2c4eb09dffee95bce8dde0,86,1,0,
24,24,0x01e9c4f4d8318e2a0a2c4eb09dffee95bce8dde0,87,1,0,
25,25,0x02cb44df23e2a5840eef59dbed570aad6401d3fa,111,1,0,id721.eth
26,26,0x03154b9e76b3e6eb27357ccfd638f9ac9085e8b3,93,1,10000000000000000,848eth.eth
27,27,0x03154b9e76b3e6eb27357ccfd638f9ac9085e8b3,105,1,10000000000000000,848eth.eth
28,28,0x031d2da6a39dfe83c314df7c2e7a74bfad01773b,105,1,11000000000000000,shanshan33.eth
29,29,0x031d2da6a39dfe83c314df7c2e7a74bfad01773b,109,0,11000000000000000,shanshan33.eth
30,30,0x031d2da6a39dfe83c314df7c2e7a74bfad01773b,111,1,11000000000000000,shanshan33.eth
31,31,0x038584760d78f85412a5738bd014c8e0356b2aaa,105,1,100000000000000000,aoligei11.eth
32,32,0x03f061f6357195dbb545820a6cd9a2ed2b087618,43,1,23019700158264145457,
