,id,blocktime,vote_rate
0,1,2021-08-13 11:57:54,0.082542
11,2,2021-08-18 08:38:01,0.073714
22,3,2021-08-19 16:08:01,0.073592
24,4,2021-08-26 07:49:32,0.087799
25,5,2021-08-26 15:15:12,0.139302
26,6,2021-09-28 15:35:16,0.082777
27,7,2021-10-22 12:49:19,0.024523
28,8,2021-10-27 15:57:35,0.110522
29,9,2021-11-03 13:38:12,7e-06
1,10,2021-11-19 15:36:02,0.0
2,11,2021-11-30 12:13:30,1e-06
3,12,2021-12-16 09:28:40,0.106666
4,13,2022-01-12 10:25:20,0.108804
5,14,2022-01-14 09:59:50,0.1627
6,15,2022-01-25 05:25:20,0.112603
7,16,2022-02-02 15:48:03,0.105791
8,17,2022-02-22 10:32:17,0.151886
9,18,2022-02-22 14:46:53,0.0
10,19,2022-02-23 16:31:03,0.154829
12,20,2022-03-03 09:19:55,0.154871
13,21,2022-03-04 12:04:08,0.181542
14,22,2022-03-05 03:58:45,0.062548
15,23,2022-03-06 07:18:34,0.10074
16,24,2022-05-17 10:06:18,0.0
17,25,2022-05-18 03:05:49,0.135359
18,26,2022-05-18 07:36:36,0.135354
19,27,2022-05-18 13:38:22,0.076107
20,28,2022-05-19 11:06:00,0.072869
21,29,2022-06-09 09:33:25,0.07335
23,30,2022-07-14 20:40:25,0.092176
