,id,blocktime,vote_rate
0,1,2021-03-02 19:07:34,0.00736
11,2,2021-03-06 01:58:01,0.055002
22,3,2021-03-13 15:29:07,0.010378
33,4,2021-03-22 12:39:19,0.012134
38,5,2021-04-02 12:53:26,0.053853
39,6,2021-04-13 13:01:52,0.0539
40,7,2021-05-01 07:47:15,0.060029
41,8,2021-05-01 08:27:20,0.008429
42,9,2021-05-06 14:59:34,0.05992
1,10,2021-05-08 15:32:14,0.066325
2,11,2021-05-12 18:14:35,0.076245
3,12,2021-05-15 06:13:11,0.014177
4,13,2021-05-18 14:29:44,0.041433
5,14,2021-05-18 16:46:32,0.021496
6,15,2021-06-01 12:09:42,0.010203
7,16,2021-06-04 01:57:04,0.108911
8,17,2021-06-26 13:13:22,0.103687
9,18,2021-07-10 03:16:37,0.101431
10,19,2021-07-26 17:25:04,0.01776
12,20,2021-08-03 23:01:02,0.010098
13,21,2021-08-27 18:51:24,0.101311
14,22,2021-09-21 20:06:47,0.081134
15,23,2021-10-06 15:32:07,0.023379
16,24,2021-10-25 17:22:43,0.040616
17,25,2021-11-02 12:28:22,0.037186
18,26,2021-11-22 15:11:20,0.086353
19,27,2021-11-29 16:30:14,0.015391
20,28,2021-12-10 17:06:43,0.019999
21,29,2022-01-14 12:13:42,0.012825
23,30,2022-02-15 03:08:47,0.013331
24,31,2022-02-16 20:40:18,0.014332
25,32,2022-03-14 10:51:16,0.014194
26,33,2022-03-23 13:16:45,0.015831
27,34,2022-03-25 10:24:12,0.032652
28,35,2022-04-15 10:54:08,0.013317
29,36,2022-04-15 11:46:10,0.016434
30,37,2022-04-15 12:34:22,0.011157
31,38,2022-04-21 07:31:11,0.022683
32,39,2022-04-21 07:48:18,0.056799
34,40,2022-05-29 21:45:28,0.010038
35,41,2022-06-14 20:44:36,0.025159
36,42,2022-06-16 12:40:11,0.010671
37,43,2022-06-27 12:28:24,0.020379
