,proposal,voter,support,single_vote,name
516,1,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1,dingaling.eth
185,1,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,2,nounders.eth
1777,1,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
1340,1,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,2,sharkdao.eth
183,1,0x2536c09e5f5691498805884fa37811be3b2bddb4,1,1,xaix.eth
1,1,0x008c84421da5527f462886cec43d2717b686a7e4,1,0,noun12.eth
966,2,0x912a526852527dfb5d44c22a15b708aa493cda6b,1,1,devloper.eth
202,2,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,2,nounders.eth
1225,2,0xa58899bbc983781d47c7dd5a6b8aeef53cd34bbc,1,1,
100,2,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1,
1751,2,0xeb1c22baacafac7836f20f684c946228401ff01c,1,1,richerd.eth
517,2,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1,dingaling.eth
15,2,0x008c84421da5527f462886cec43d2717b686a7e4,1,1,noun12.eth
1343,2,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,3,sharkdao.eth
1778,2,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
1344,3,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,3,sharkdao.eth
518,3,0x54be3a794282c030b15e43ae2bb182e14c409c5e,1,1,dingaling.eth
1582,3,0xd049b3064990869c9f73bd7896271d83325d2067,1,1,1conf.eth
1463,3,0xc3b80922832450aabafe6aae8a6aaf1e5e6158ea,1,1,
1779,3,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
216,3,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,3,nounders.eth
1058,3,0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a,1,1,illiquidjpeg.eth
968,3,0x912a526852527dfb5d44c22a15b708aa493cda6b,1,2,devloper.eth
804,3,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,1,noun22.eth
1353,4,0xaee8c60ff7e8947ad514c4310e0f2e203194c33f,1,1,
1464,4,0xc3b80922832450aabafe6aae8a6aaf1e5e6158ea,1,1,
1127,4,0xa397d02928acaaf6553fd7e832413c5a732cf559,1,1,
41,4,0x008c84421da5527f462886cec43d2717b686a7e4,1,1,noun12.eth
1345,4,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,3,sharkdao.eth
1059,4,0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a,1,1,illiquidjpeg.eth
969,4,0x912a526852527dfb5d44c22a15b708aa493cda6b,1,2,devloper.eth
102,4,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1,
228,4,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,3,nounders.eth
421,5,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,1,2,starstorm.eth
51,5,0x008c84421da5527f462886cec43d2717b686a7e4,1,1,noun12.eth
1346,5,0xae7f458667f1b30746354abc3157907d9f6fd15e,1,4,sharkdao.eth
806,5,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,1,noun22.eth
1780,5,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
1060,5,0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a,1,1,illiquidjpeg.eth
239,5,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,5,nounders.eth
734,5,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
103,5,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1,
815,6,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e,1,1,noun22.eth
56,6,0x008c84421da5527f462886cec43d2717b686a7e4,1,1,noun12.eth
742,6,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
104,6,0x1254958bd5073c6b238e516298f0c48f6f60a78e,1,1,
130,6,0x17beaa158e68ff9225b4c85151831c7a0d8f258d,1,1,orcanoun.eth
422,6,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,1,3,starstorm.eth
251,6,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,5,nounders.eth
1781,6,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
321,6,0x33daf8e90cd1f214cc25a1865649e847254f2ece,1,1,
1752,6,0xeb1c22baacafac7836f20f684c946228401ff01c,1,1,richerd.eth
132,7,0x17beaa158e68ff9225b4c85151831c7a0d8f258d,1,1,orcanoun.eth
753,7,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
1782,7,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,1,1,cold.4156.eth
1264,7,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,1,2,
423,7,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,1,4,starstorm.eth
261,8,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,1,6,nounders.eth
